,0,1,log
0,,,"['unable to get the rating', 'unable to get the user rating']"
1,89,8.2,[]
2,96,9.0,[]
3,,6.5,['unable to get the rating']
4,72,7.8,[]
5,,7.5,['unable to get the rating']
6,,tbd,['unable to get the rating']
7,,tbd,['unable to get the rating']
8,,tbd,['unable to get the rating']
9,74,8.8,[]
10,,tbd,['unable to get the rating']
11,,tbd,['unable to get the rating']
12,,tbd,['unable to get the rating']
13,,,"['unable to get the rating', 'unable to get the user rating']"
14,,tbd,['unable to get the rating']
15,,3.8,['unable to get the rating']
16,,tbd,['unable to get the rating']
17,,tbd,['unable to get the rating']
18,,tbd,['unable to get the rating']
19,,tbd,['unable to get the rating']
20,,tbd,['unable to get the rating']
21,,tbd,['unable to get the rating']
22,,,"['unable to get the rating', 'unable to get the user rating']"
23,,,"['unable to get the rating', 'unable to get the user rating']"
24,,,"['unable to get the rating', 'unable to get the user rating']"
25,,,"['unable to get the rating', 'unable to get the user rating']"
26,,tbd,['unable to get the rating']
27,,,"['unable to get the rating', 'unable to get the user rating']"
28,,,"['unable to get the rating', 'unable to get the user rating']"
29,,,"['unable to get the rating', 'unable to get the user rating']"
30,51,tbd,[]
31,,,"['unable to get the rating', 'unable to get the user rating']"
32,,,"['unable to get the rating', 'unable to get the user rating']"
33,,tbd,['unable to get the rating']
34,,tbd,['unable to get the rating']
35,,tbd,['unable to get the rating']
36,57,tbd,[]
37,,,"['unable to get the rating', 'unable to get the user rating']"
38,,tbd,['unable to get the rating']
39,,tbd,['unable to get the rating']
40,,,"['unable to get the rating', 'unable to get the user rating']"
41,,tbd,['unable to get the rating']
42,,,"['unable to get the rating', 'unable to get the user rating']"
43,,tbd,['unable to get the rating']
44,,tbd,['unable to get the rating']
45,,tbd,['unable to get the rating']
46,,,"['unable to get the rating', 'unable to get the user rating']"
47,,tbd,['unable to get the rating']
48,,,"['unable to get the rating', 'unable to get the user rating']"
49,,,"['unable to get the rating', 'unable to get the user rating']"
50,,tbd,['unable to get the rating']
51,87,8.4,[]
52,,tbd,['unable to get the rating']
53,91,8.4,[]
54,,tbd,['unable to get the rating']
55,,,"['unable to get the rating', 'unable to get the user rating']"
56,,,"['unable to get the rating', 'unable to get the user rating']"
57,,,"['unable to get the rating', 'unable to get the user rating']"
58,,,"['unable to get the rating', 'unable to get the user rating']"
59,,,"['unable to get the rating', 'unable to get the user rating']"
60,,,"['unable to get the rating', 'unable to get the user rating']"
61,,,"['unable to get the rating', 'unable to get the user rating']"
62,,,"['unable to get the rating', 'unable to get the user rating']"
63,,,"['unable to get the rating', 'unable to get the user rating']"
64,,,"['unable to get the rating', 'unable to get the user rating']"
65,,,"['unable to get the rating', 'unable to get the user rating']"
66,,,"['unable to get the rating', 'unable to get the user rating']"
67,,,"['unable to get the rating', 'unable to get the user rating']"
68,,,"['unable to get the rating', 'unable to get the user rating']"
69,,,"['unable to get the rating', 'unable to get the user rating']"
70,,,"['unable to get the rating', 'unable to get the user rating']"
71,,,"['unable to get the rating', 'unable to get the user rating']"
72,,,"['unable to get the rating', 'unable to get the user rating']"
73,,,"['unable to get the rating', 'unable to get the user rating']"
74,,,"['unable to get the rating', 'unable to get the user rating']"
75,,,"['unable to get the rating', 'unable to get the user rating']"
76,,,"['unable to get the rating', 'unable to get the user rating']"
77,,,"['unable to get the rating', 'unable to get the user rating']"
78,,,"['unable to get the rating', 'unable to get the user rating']"
79,,,"['unable to get the rating', 'unable to get the user rating']"
80,,,"['unable to get the rating', 'unable to get the user rating']"
81,,,"['unable to get the rating', 'unable to get the user rating']"
82,,,"['unable to get the rating', 'unable to get the user rating']"
83,,,"['unable to get the rating', 'unable to get the user rating']"
84,,,"['unable to get the rating', 'unable to get the user rating']"
85,,,"['unable to get the rating', 'unable to get the user rating']"
86,,,"['unable to get the rating', 'unable to get the user rating']"
87,,tbd,['unable to get the rating']
88,76,tbd,[]
89,,,"['unable to get the rating', 'unable to get the user rating']"
90,76,4.2,[]
91,,,"['unable to get the rating', 'unable to get the user rating']"
92,,,"['unable to get the rating', 'unable to get the user rating']"
93,,tbd,['unable to get the rating']
94,,,"['unable to get the rating', 'unable to get the user rating']"
95,,tbd,['unable to get the rating']
96,,,"['unable to get the rating', 'unable to get the user rating']"
97,,,"['unable to get the rating', 'unable to get the user rating']"
98,,tbd,['unable to get the rating']
99,85,8.8,[]
100,,,"['unable to get the rating', 'unable to get the user rating']"
101,,,"['unable to get the rating', 'unable to get the user rating']"
102,,,"['unable to get the rating', 'unable to get the user rating']"
103,,,"['unable to get the rating', 'unable to get the user rating']"
104,,,"['unable to get the rating', 'unable to get the user rating']"
105,,,"['unable to get the rating', 'unable to get the user rating']"
106,,,"['unable to get the rating', 'unable to get the user rating']"
107,,,"['unable to get the rating', 'unable to get the user rating']"
108,,,"['unable to get the rating', 'unable to get the user rating']"
109,,,"['unable to get the rating', 'unable to get the user rating']"
110,,,"['unable to get the rating', 'unable to get the user rating']"
111,,,"['unable to get the rating', 'unable to get the user rating']"
112,,,"['unable to get the rating', 'unable to get the user rating']"
113,,,"['unable to get the rating', 'unable to get the user rating']"
114,,,"['unable to get the rating', 'unable to get the user rating']"
115,,,"['unable to get the rating', 'unable to get the user rating']"
116,,,"['unable to get the rating', 'unable to get the user rating']"
117,,,"['unable to get the rating', 'unable to get the user rating']"
118,,,"['unable to get the rating', 'unable to get the user rating']"
119,,,"['unable to get the rating', 'unable to get the user rating']"
120,,,"['unable to get the rating', 'unable to get the user rating']"
121,,,"['unable to get the rating', 'unable to get the user rating']"
122,,,"['unable to get the rating', 'unable to get the user rating']"
123,,,"['unable to get the rating', 'unable to get the user rating']"
124,,,"['unable to get the rating', 'unable to get the user rating']"
125,,,"['unable to get the rating', 'unable to get the user rating']"
126,,,"['unable to get the rating', 'unable to get the user rating']"
127,,,"['unable to get the rating', 'unable to get the user rating']"
128,,,"['unable to get the rating', 'unable to get the user rating']"
129,,,"['unable to get the rating', 'unable to get the user rating']"
130,,tbd,['unable to get the rating']
131,,,"['unable to get the rating', 'unable to get the user rating']"
132,,,"['unable to get the rating', 'unable to get the user rating']"
133,,tbd,['unable to get the rating']
134,,,"['unable to get the rating', 'unable to get the user rating']"
135,,,"['unable to get the rating', 'unable to get the user rating']"
136,,,"['unable to get the rating', 'unable to get the user rating']"
137,,,"['unable to get the rating', 'unable to get the user rating']"
138,,,"['unable to get the rating', 'unable to get the user rating']"
139,,,"['unable to get the rating', 'unable to get the user rating']"
140,,,"['unable to get the rating', 'unable to get the user rating']"
141,,,"['unable to get the rating', 'unable to get the user rating']"
142,,,"['unable to get the rating', 'unable to get the user rating']"
143,,,"['unable to get the rating', 'unable to get the user rating']"
144,,tbd,['unable to get the rating']
145,,tbd,['unable to get the rating']
146,,7.6,['unable to get the rating']
147,,tbd,['unable to get the rating']
148,,,"['unable to get the rating', 'unable to get the user rating']"
149,,,"['unable to get the rating', 'unable to get the user rating']"
150,,,"['unable to get the rating', 'unable to get the user rating']"
151,,,"['unable to get the rating', 'unable to get the user rating']"
152,,,"['unable to get the rating', 'unable to get the user rating']"
153,55,7.3,[]
154,,,"['unable to get the rating', 'unable to get the user rating']"
155,,,"['unable to get the rating', 'unable to get the user rating']"
156,,tbd,['unable to get the rating']
157,72,tbd,[]
158,,,"['unable to get the rating', 'unable to get the user rating']"
159,,tbd,['unable to get the rating']
160,,,"['unable to get the rating', 'unable to get the user rating']"
161,,tbd,['unable to get the rating']
162,,,"['unable to get the rating', 'unable to get the user rating']"
163,,,"['unable to get the rating', 'unable to get the user rating']"
164,70,6.8,[]
165,,,"['unable to get the rating', 'unable to get the user rating']"
166,,tbd,['unable to get the rating']
167,,,"['unable to get the rating', 'unable to get the user rating']"
168,,,"['unable to get the rating', 'unable to get the user rating']"
169,,,"['unable to get the rating', 'unable to get the user rating']"
170,,tbd,['unable to get the rating']
171,,,"['unable to get the rating', 'unable to get the user rating']"
