,0,1,log
0,,,"['unable to get the rating', 'unable to get the user rating']"
1,,,"['unable to get the rating', 'unable to get the user rating']"
2,,,"['unable to get the rating', 'unable to get the user rating']"
3,,,"['unable to get the rating', 'unable to get the user rating']"
4,,tbd,['unable to get the rating']
5,,tbd,['unable to get the rating']
6,,,"['unable to get the rating', 'unable to get the user rating']"
7,63,tbd,[]
8,,tbd,['unable to get the rating']
9,,,"['unable to get the rating', 'unable to get the user rating']"
10,,,"['unable to get the rating', 'unable to get the user rating']"
11,,,"['unable to get the rating', 'unable to get the user rating']"
12,,,"['unable to get the rating', 'unable to get the user rating']"
13,,,"['unable to get the rating', 'unable to get the user rating']"
14,,,"['unable to get the rating', 'unable to get the user rating']"
15,,,"['unable to get the rating', 'unable to get the user rating']"
16,,,"['unable to get the rating', 'unable to get the user rating']"
17,66,6.6,[]
18,,,"['unable to get the rating', 'unable to get the user rating']"
19,,,"['unable to get the rating', 'unable to get the user rating']"
20,,,"['unable to get the rating', 'unable to get the user rating']"
21,,,"['unable to get the rating', 'unable to get the user rating']"
22,,,"['unable to get the rating', 'unable to get the user rating']"
23,,tbd,['unable to get the rating']
24,,,"['unable to get the rating', 'unable to get the user rating']"
25,,,"['unable to get the rating', 'unable to get the user rating']"
26,,,"['unable to get the rating', 'unable to get the user rating']"
27,,,"['unable to get the rating', 'unable to get the user rating']"
28,,,"['unable to get the rating', 'unable to get the user rating']"
29,,,"['unable to get the rating', 'unable to get the user rating']"
30,,tbd,['unable to get the rating']
31,,,"['unable to get the rating', 'unable to get the user rating']"
32,74,7.4,[]
33,,,"['unable to get the rating', 'unable to get the user rating']"
34,,,"['unable to get the rating', 'unable to get the user rating']"
35,,,"['unable to get the rating', 'unable to get the user rating']"
36,,,"['unable to get the rating', 'unable to get the user rating']"
37,,,"['unable to get the rating', 'unable to get the user rating']"
38,,,"['unable to get the rating', 'unable to get the user rating']"
39,,,"['unable to get the rating', 'unable to get the user rating']"
40,68,7.3,[]
41,,,"['unable to get the rating', 'unable to get the user rating']"
42,,tbd,['unable to get the rating']
43,,,"['unable to get the rating', 'unable to get the user rating']"
44,,,"['unable to get the rating', 'unable to get the user rating']"
45,,,"['unable to get the rating', 'unable to get the user rating']"
46,,tbd,['unable to get the rating']
47,,,"['unable to get the rating', 'unable to get the user rating']"
48,,tbd,['unable to get the rating']
49,,,"['unable to get the rating', 'unable to get the user rating']"
50,,,"['unable to get the rating', 'unable to get the user rating']"
51,,,"['unable to get the rating', 'unable to get the user rating']"
52,,,"['unable to get the rating', 'unable to get the user rating']"
53,,,"['unable to get the rating', 'unable to get the user rating']"
54,,,"['unable to get the rating', 'unable to get the user rating']"
55,,,"['unable to get the rating', 'unable to get the user rating']"
56,,,"['unable to get the rating', 'unable to get the user rating']"
57,,tbd,['unable to get the rating']
58,,,"['unable to get the rating', 'unable to get the user rating']"
59,,,"['unable to get the rating', 'unable to get the user rating']"
60,,,"['unable to get the rating', 'unable to get the user rating']"
61,,,"['unable to get the rating', 'unable to get the user rating']"
62,,,"['unable to get the rating', 'unable to get the user rating']"
63,,,"['unable to get the rating', 'unable to get the user rating']"
64,,,"['unable to get the rating', 'unable to get the user rating']"
65,,,"['unable to get the rating', 'unable to get the user rating']"
66,,,"['unable to get the rating', 'unable to get the user rating']"
67,,,"['unable to get the rating', 'unable to get the user rating']"
68,,,"['unable to get the rating', 'unable to get the user rating']"
69,,,"['unable to get the rating', 'unable to get the user rating']"
70,,,"['unable to get the rating', 'unable to get the user rating']"
71,,,"['unable to get the rating', 'unable to get the user rating']"
72,,,"['unable to get the rating', 'unable to get the user rating']"
73,,,"['unable to get the rating', 'unable to get the user rating']"
