,0,1,log
0,,,"['unable to get the rating', 'unable to get the user rating']"
1,,,"['unable to get the rating', 'unable to get the user rating']"
2,,,"['unable to get the rating', 'unable to get the user rating']"
3,,,"['unable to get the rating', 'unable to get the user rating']"
4,,,"['unable to get the rating', 'unable to get the user rating']"
5,,,"['unable to get the rating', 'unable to get the user rating']"
6,NR,6.7,[]
7,,,"['unable to get the rating', 'unable to get the user rating']"
8,,,"['unable to get the rating', 'unable to get the user rating']"
9,,,"['unable to get the rating', 'unable to get the user rating']"
10,NR,5,[]
11,,,"['unable to get the rating', 'unable to get the user rating']"
12,NR,3.2,[]
13,,,"['unable to get the rating', 'unable to get the user rating']"
14,,,"['unable to get the rating', 'unable to get the user rating']"
15,,,"['unable to get the rating', 'unable to get the user rating']"
16,,,"['unable to get the rating', 'unable to get the user rating']"
17,,,"['unable to get the rating', 'unable to get the user rating']"
18,,,"['unable to get the rating', 'unable to get the user rating']"
19,,,"['unable to get the rating', 'unable to get the user rating']"
20,,,"['unable to get the rating', 'unable to get the user rating']"
21,,,"['unable to get the rating', 'unable to get the user rating']"
22,NR,,['unable to get the user rating']
23,NR,-,[]
24,,,"['unable to get the rating', 'unable to get the user rating']"
25,NR,8,[]
26,NR,-,[]
27,,,"['unable to get the rating', 'unable to get the user rating']"
28,,,"['unable to get the rating', 'unable to get the user rating']"
29,,,"['unable to get the rating', 'unable to get the user rating']"
30,NR,-,[]
31,NR,-,[]
32,,,"['unable to get the rating', 'unable to get the user rating']"
33,,,"['unable to get the rating', 'unable to get the user rating']"
34,6.5,-,[]
35,,,"['unable to get the rating', 'unable to get the user rating']"
36,,,"['unable to get the rating', 'unable to get the user rating']"
37,,,"['unable to get the rating', 'unable to get the user rating']"
38,,,"['unable to get the rating', 'unable to get the user rating']"
39,,,"['unable to get the rating', 'unable to get the user rating']"
40,7.6,7,[]
41,,,"['unable to get the rating', 'unable to get the user rating']"
42,,,"['unable to get the rating', 'unable to get the user rating']"
43,,,"['unable to get the rating', 'unable to get the user rating']"
44,,,"['unable to get the rating', 'unable to get the user rating']"
45,,,"['unable to get the rating', 'unable to get the user rating']"
46,,,"['unable to get the rating', 'unable to get the user rating']"
47,,,"['unable to get the rating', 'unable to get the user rating']"
48,8,,['unable to get the user rating']
49,NR,-,[]
50,,,"['unable to get the rating', 'unable to get the user rating']"
51,NR,-,[]
52,,,"['unable to get the rating', 'unable to get the user rating']"
53,NR,-,[]
54,,,"['unable to get the rating', 'unable to get the user rating']"
55,,,"['unable to get the rating', 'unable to get the user rating']"
56,NR,3,[]
57,,,"['unable to get the rating', 'unable to get the user rating']"
58,,,"['unable to get the rating', 'unable to get the user rating']"
59,NR,-,[]
60,,,"['unable to get the rating', 'unable to get the user rating']"
61,,,"['unable to get the rating', 'unable to get the user rating']"
62,,,"['unable to get the rating', 'unable to get the user rating']"
63,,,"['unable to get the rating', 'unable to get the user rating']"
64,NR,-,[]
65,NR,6.7,[]
66,NR,,['unable to get the user rating']
67,3,8.3,[]
68,,,"['unable to get the rating', 'unable to get the user rating']"
69,,,"['unable to get the rating', 'unable to get the user rating']"
70,NR,-,[]
71,,,"['unable to get the rating', 'unable to get the user rating']"
72,,,"['unable to get the rating', 'unable to get the user rating']"
73,NR,8.1,[]
74,,,"['unable to get the rating', 'unable to get the user rating']"
75,NR,7.5,[]
76,,,"['unable to get the rating', 'unable to get the user rating']"
77,NR,7,[]
78,,,"['unable to get the rating', 'unable to get the user rating']"
79,,,"['unable to get the rating', 'unable to get the user rating']"
80,,,"['unable to get the rating', 'unable to get the user rating']"
81,,,"['unable to get the rating', 'unable to get the user rating']"
82,,,"['unable to get the rating', 'unable to get the user rating']"
