,0,1,log
0,,,"['unable to get the rating', 'unable to get the user rating']"
1,,,"['unable to get the rating', 'unable to get the user rating']"
2,,,"['unable to get the rating', 'unable to get the user rating']"
3,,,"['unable to get the rating', 'unable to get the user rating']"
4,,,"['unable to get the rating', 'unable to get the user rating']"
5,,,"['unable to get the rating', 'unable to get the user rating']"
6,,,"['unable to get the rating', 'unable to get the user rating']"
7,,,"['unable to get the rating', 'unable to get the user rating']"
8,,,"['unable to get the rating', 'unable to get the user rating']"
9,7.9,8.3,[]
10,8,8.5,[]
11,,,"['unable to get the rating', 'unable to get the user rating']"
12,,,"['unable to get the rating', 'unable to get the user rating']"
13,,,"['unable to get the rating', 'unable to get the user rating']"
14,,,"['unable to get the rating', 'unable to get the user rating']"
15,,,"['unable to get the rating', 'unable to get the user rating']"
16,NR,4,[]
17,,,"['unable to get the rating', 'unable to get the user rating']"
18,,,"['unable to get the rating', 'unable to get the user rating']"
19,,,"['unable to get the rating', 'unable to get the user rating']"
20,,,"['unable to get the rating', 'unable to get the user rating']"
21,,,"['unable to get the rating', 'unable to get the user rating']"
22,NR,7.3,[]
23,5,5.8,[]
24,,,"['unable to get the rating', 'unable to get the user rating']"
25,NR,-,[]
26,NR,,['unable to get the user rating']
27,,,"['unable to get the rating', 'unable to get the user rating']"
28,,,"['unable to get the rating', 'unable to get the user rating']"
29,,,"['unable to get the rating', 'unable to get the user rating']"
30,,,"['unable to get the rating', 'unable to get the user rating']"
31,,,"['unable to get the rating', 'unable to get the user rating']"
32,,,"['unable to get the rating', 'unable to get the user rating']"
33,,,"['unable to get the rating', 'unable to get the user rating']"
34,NR,,['unable to get the user rating']
35,,,"['unable to get the rating', 'unable to get the user rating']"
36,,,"['unable to get the rating', 'unable to get the user rating']"
37,,,"['unable to get the rating', 'unable to get the user rating']"
38,NR,-,[]
39,,,"['unable to get the rating', 'unable to get the user rating']"
40,,,"['unable to get the rating', 'unable to get the user rating']"
41,,,"['unable to get the rating', 'unable to get the user rating']"
42,,,"['unable to get the rating', 'unable to get the user rating']"
43,,,"['unable to get the rating', 'unable to get the user rating']"
44,,,"['unable to get the rating', 'unable to get the user rating']"
45,NR,-,[]
46,NR,,['unable to get the user rating']
47,NR,7.7,[]
48,,,"['unable to get the rating', 'unable to get the user rating']"
49,,,"['unable to get the rating', 'unable to get the user rating']"
50,,,"['unable to get the rating', 'unable to get the user rating']"
51,NR,,['unable to get the user rating']
52,,,"['unable to get the rating', 'unable to get the user rating']"
53,NR,9,[]
54,,,"['unable to get the rating', 'unable to get the user rating']"
55,8,4,[]
56,7,-,[]
57,,,"['unable to get the rating', 'unable to get the user rating']"
58,,,"['unable to get the rating', 'unable to get the user rating']"
59,,,"['unable to get the rating', 'unable to get the user rating']"
60,,,"['unable to get the rating', 'unable to get the user rating']"
61,,,"['unable to get the rating', 'unable to get the user rating']"
62,,,"['unable to get the rating', 'unable to get the user rating']"
63,NR,-,[]
64,,,"['unable to get the rating', 'unable to get the user rating']"
65,,,"['unable to get the rating', 'unable to get the user rating']"
66,,,"['unable to get the rating', 'unable to get the user rating']"
67,6.5,-,[]
68,,,"['unable to get the rating', 'unable to get the user rating']"
69,NR,-,[]
70,,,"['unable to get the rating', 'unable to get the user rating']"
71,6,-,[]
72,9,6.9,[]
73,8.5,7.8,[]
74,8,8.7,[]
75,,,"['unable to get the rating', 'unable to get the user rating']"
76,8,7.8,[]
77,7.9,7.7,[]
78,,,"['unable to get the rating', 'unable to get the user rating']"
79,5.5,-,[]
80,,,"['unable to get the rating', 'unable to get the user rating']"
81,,,"['unable to get the rating', 'unable to get the user rating']"
82,,,"['unable to get the rating', 'unable to get the user rating']"
