,0,1,log
0,7.5,7,[]
1,6.2,7.6,[]
2,,,"['unable to get the rating', 'unable to get the user rating']"
3,8,8.3,[]
4,7.3,8.2,[]
5,8,6.7,[]
6,4.1,7.8,[]
7,,,"['unable to get the rating', 'unable to get the user rating']"
8,8.3,8.4,[]
9,8.2,,['unable to get the user rating']
10,8.4,10,[]
11,NR,-,[]
12,NR,6,[]
13,,,"['unable to get the rating', 'unable to get the user rating']"
14,,,"['unable to get the rating', 'unable to get the user rating']"
15,5,5.5,[]
16,8.2,6.7,[]
17,NR,-,[]
18,NR,-,[]
19,NR,7,[]
20,7.8,8.2,[]
21,,,"['unable to get the rating', 'unable to get the user rating']"
22,,,"['unable to get the rating', 'unable to get the user rating']"
23,,,"['unable to get the rating', 'unable to get the user rating']"
24,,,"['unable to get the rating', 'unable to get the user rating']"
25,,,"['unable to get the rating', 'unable to get the user rating']"
26,NR,9,[]
27,,,"['unable to get the rating', 'unable to get the user rating']"
28,,,"['unable to get the rating', 'unable to get the user rating']"
29,,,"['unable to get the rating', 'unable to get the user rating']"
30,5,-,[]
31,,,"['unable to get the rating', 'unable to get the user rating']"
32,8.5,-,[]
33,4,6.2,[]
34,9,8.9,[]
35,,,"['unable to get the rating', 'unable to get the user rating']"
36,4.8,-,[]
37,8,7.8,[]
38,6.9,8.5,[]
39,,,"['unable to get the rating', 'unable to get the user rating']"
40,,,"['unable to get the rating', 'unable to get the user rating']"
41,,,"['unable to get the rating', 'unable to get the user rating']"
42,,,"['unable to get the rating', 'unable to get the user rating']"
43,6.8,7.3,[]
44,5.5,,['unable to get the user rating']
45,5.5,-,[]
46,7,6.7,[]
47,8,7.1,[]
48,6.5,7.4,[]
49,,,"['unable to get the rating', 'unable to get the user rating']"
50,7,7.5,[]
51,8.5,8.6,[]
52,6,8,[]
53,9.3,8.7,[]
54,,,"['unable to get the rating', 'unable to get the user rating']"
55,,,"['unable to get the rating', 'unable to get the user rating']"
56,,,"['unable to get the rating', 'unable to get the user rating']"
57,,,"['unable to get the rating', 'unable to get the user rating']"
58,,,"['unable to get the rating', 'unable to get the user rating']"
59,,,"['unable to get the rating', 'unable to get the user rating']"
60,,,"['unable to get the rating', 'unable to get the user rating']"
61,,,"['unable to get the rating', 'unable to get the user rating']"
62,,,"['unable to get the rating', 'unable to get the user rating']"
63,,,"['unable to get the rating', 'unable to get the user rating']"
64,,,"['unable to get the rating', 'unable to get the user rating']"
65,,,"['unable to get the rating', 'unable to get the user rating']"
66,,,"['unable to get the rating', 'unable to get the user rating']"
67,,,"['unable to get the rating', 'unable to get the user rating']"
68,,,"['unable to get the rating', 'unable to get the user rating']"
69,,,"['unable to get the rating', 'unable to get the user rating']"
70,,,"['unable to get the rating', 'unable to get the user rating']"
71,,,"['unable to get the rating', 'unable to get the user rating']"
72,,,"['unable to get the rating', 'unable to get the user rating']"
73,,,"['unable to get the rating', 'unable to get the user rating']"
74,,,"['unable to get the rating', 'unable to get the user rating']"
75,,,"['unable to get the rating', 'unable to get the user rating']"
76,,,"['unable to get the rating', 'unable to get the user rating']"
77,,,"['unable to get the rating', 'unable to get the user rating']"
78,,,"['unable to get the rating', 'unable to get the user rating']"
79,,,"['unable to get the rating', 'unable to get the user rating']"
80,,,"['unable to get the rating', 'unable to get the user rating']"
81,,,"['unable to get the rating', 'unable to get the user rating']"
82,,,"['unable to get the rating', 'unable to get the user rating']"
83,,,"['unable to get the rating', 'unable to get the user rating']"
84,,,"['unable to get the rating', 'unable to get the user rating']"
85,,,"['unable to get the rating', 'unable to get the user rating']"
86,,,"['unable to get the rating', 'unable to get the user rating']"
87,8.5,8,[]
88,7.5,7.9,[]
89,,,"['unable to get the rating', 'unable to get the user rating']"
90,,,"['unable to get the rating', 'unable to get the user rating']"
91,,,"['unable to get the rating', 'unable to get the user rating']"
92,,,"['unable to get the rating', 'unable to get the user rating']"
93,,,"['unable to get the rating', 'unable to get the user rating']"
94,,,"['unable to get the rating', 'unable to get the user rating']"
95,,,"['unable to get the rating', 'unable to get the user rating']"
96,,,"['unable to get the rating', 'unable to get the user rating']"
97,,,"['unable to get the rating', 'unable to get the user rating']"
98,NR,7.6,[]
99,9,8.3,[]
100,,,"['unable to get the rating', 'unable to get the user rating']"
101,,,"['unable to get the rating', 'unable to get the user rating']"
102,,,"['unable to get the rating', 'unable to get the user rating']"
103,,,"['unable to get the rating', 'unable to get the user rating']"
104,,,"['unable to get the rating', 'unable to get the user rating']"
105,,,"['unable to get the rating', 'unable to get the user rating']"
106,,,"['unable to get the rating', 'unable to get the user rating']"
107,,,"['unable to get the rating', 'unable to get the user rating']"
108,,,"['unable to get the rating', 'unable to get the user rating']"
109,,,"['unable to get the rating', 'unable to get the user rating']"
110,,,"['unable to get the rating', 'unable to get the user rating']"
111,,,"['unable to get the rating', 'unable to get the user rating']"
112,,,"['unable to get the rating', 'unable to get the user rating']"
113,,,"['unable to get the rating', 'unable to get the user rating']"
114,,,"['unable to get the rating', 'unable to get the user rating']"
115,,,"['unable to get the rating', 'unable to get the user rating']"
116,,,"['unable to get the rating', 'unable to get the user rating']"
117,,,"['unable to get the rating', 'unable to get the user rating']"
118,7,8.4,[]
119,,,"['unable to get the rating', 'unable to get the user rating']"
120,,,"['unable to get the rating', 'unable to get the user rating']"
121,,,"['unable to get the rating', 'unable to get the user rating']"
122,,,"['unable to get the rating', 'unable to get the user rating']"
123,,,"['unable to get the rating', 'unable to get the user rating']"
124,,,"['unable to get the rating', 'unable to get the user rating']"
