,0,1,log
0,NR,-,[]
1,,,"['unable to get the rating', 'unable to get the user rating']"
2,NR,5,[]
3,,,"['unable to get the rating', 'unable to get the user rating']"
4,,,"['unable to get the rating', 'unable to get the user rating']"
5,,,"['unable to get the rating', 'unable to get the user rating']"
6,,,"['unable to get the rating', 'unable to get the user rating']"
7,,,"['unable to get the rating', 'unable to get the user rating']"
8,NR,,['unable to get the user rating']
9,NR,-,[]
10,,,"['unable to get the rating', 'unable to get the user rating']"
11,,,"['unable to get the rating', 'unable to get the user rating']"
12,NR,7,[]
13,,,"['unable to get the rating', 'unable to get the user rating']"
14,,,"['unable to get the rating', 'unable to get the user rating']"
15,,,"['unable to get the rating', 'unable to get the user rating']"
16,,,"['unable to get the rating', 'unable to get the user rating']"
17,NR,-,[]
18,,,"['unable to get the rating', 'unable to get the user rating']"
19,,,"['unable to get the rating', 'unable to get the user rating']"
20,,,"['unable to get the rating', 'unable to get the user rating']"
21,,,"['unable to get the rating', 'unable to get the user rating']"
22,10,8,[]
23,,,"['unable to get the rating', 'unable to get the user rating']"
24,9,7.9,[]
25,9.5,9,[]
26,,,"['unable to get the rating', 'unable to get the user rating']"
27,8.5,9.2,[]
28,,,"['unable to get the rating', 'unable to get the user rating']"
29,,,"['unable to get the rating', 'unable to get the user rating']"
30,,,"['unable to get the rating', 'unable to get the user rating']"
31,,,"['unable to get the rating', 'unable to get the user rating']"
32,9.5,9.2,[]
33,,,"['unable to get the rating', 'unable to get the user rating']"
34,NR,,['unable to get the user rating']
35,,,"['unable to get the rating', 'unable to get the user rating']"
36,NR,-,[]
37,,,"['unable to get the rating', 'unable to get the user rating']"
38,NR,-,[]
39,,,"['unable to get the rating', 'unable to get the user rating']"
40,,,"['unable to get the rating', 'unable to get the user rating']"
41,,,"['unable to get the rating', 'unable to get the user rating']"
42,,,"['unable to get the rating', 'unable to get the user rating']"
43,NR,-,[]
44,NR,5,[]
45,,,"['unable to get the rating', 'unable to get the user rating']"
46,,,"['unable to get the rating', 'unable to get the user rating']"
47,NR,7,[]
48,,,"['unable to get the rating', 'unable to get the user rating']"
49,NR,7,[]
50,NR,,['unable to get the user rating']
51,,,"['unable to get the rating', 'unable to get the user rating']"
52,,,"['unable to get the rating', 'unable to get the user rating']"
53,,,"['unable to get the rating', 'unable to get the user rating']"
54,,,"['unable to get the rating', 'unable to get the user rating']"
55,,,"['unable to get the rating', 'unable to get the user rating']"
56,NR,-,[]
57,NR,8,[]
58,,,"['unable to get the rating', 'unable to get the user rating']"
59,NR,-,[]
60,NR,-,[]
61,,,"['unable to get the rating', 'unable to get the user rating']"
62,,,"['unable to get the rating', 'unable to get the user rating']"
63,,,"['unable to get the rating', 'unable to get the user rating']"
64,,,"['unable to get the rating', 'unable to get the user rating']"
65,NR,6,[]
66,,,"['unable to get the rating', 'unable to get the user rating']"
67,,,"['unable to get the rating', 'unable to get the user rating']"
68,NR,-,[]
69,7.6,7.6,[]
70,,,"['unable to get the rating', 'unable to get the user rating']"
71,NR,6.5,[]
72,NR,-,[]
73,NR,-,[]
74,,,"['unable to get the rating', 'unable to get the user rating']"
75,,,"['unable to get the rating', 'unable to get the user rating']"
76,8,7.1,[]
77,8.5,7.5,[]
78,7.5,7.1,[]
79,,,"['unable to get the rating', 'unable to get the user rating']"
80,NR,-,[]
81,,,"['unable to get the rating', 'unable to get the user rating']"
