,0,1,log
0,3,7.5,[]
1,,,"['unable to get the rating', 'unable to get the user rating']"
2,,,"['unable to get the rating', 'unable to get the user rating']"
3,,,"['unable to get the rating', 'unable to get the user rating']"
4,,,"['unable to get the rating', 'unable to get the user rating']"
5,,,"['unable to get the rating', 'unable to get the user rating']"
6,,,"['unable to get the rating', 'unable to get the user rating']"
7,,,"['unable to get the rating', 'unable to get the user rating']"
8,,,"['unable to get the rating', 'unable to get the user rating']"
9,,,"['unable to get the rating', 'unable to get the user rating']"
10,,,"['unable to get the rating', 'unable to get the user rating']"
11,,,"['unable to get the rating', 'unable to get the user rating']"
12,,,"['unable to get the rating', 'unable to get the user rating']"
13,,,"['unable to get the rating', 'unable to get the user rating']"
14,,,"['unable to get the rating', 'unable to get the user rating']"
15,NR,-,[]
16,,,"['unable to get the rating', 'unable to get the user rating']"
17,,,"['unable to get the rating', 'unable to get the user rating']"
18,NR,-,[]
19,,,"['unable to get the rating', 'unable to get the user rating']"
20,NR,-,[]
21,,,"['unable to get the rating', 'unable to get the user rating']"
22,,,"['unable to get the rating', 'unable to get the user rating']"
23,,,"['unable to get the rating', 'unable to get the user rating']"
24,NR,8,[]
25,NR,-,[]
26,7,3.8,[]
27,NR,-,[]
28,NR,-,[]
29,7.6,7.7,[]
30,,,"['unable to get the rating', 'unable to get the user rating']"
31,8.3,8,[]
32,NR,-,[]
33,NR,-,[]
34,,,"['unable to get the rating', 'unable to get the user rating']"
35,NR,-,[]
36,NR,-,[]
37,NR,-,[]
38,,,"['unable to get the rating', 'unable to get the user rating']"
39,,,"['unable to get the rating', 'unable to get the user rating']"
40,NR,6.8,[]
41,,,"['unable to get the rating', 'unable to get the user rating']"
42,NR,,['unable to get the user rating']
43,,,"['unable to get the rating', 'unable to get the user rating']"
44,,,"['unable to get the rating', 'unable to get the user rating']"
45,,,"['unable to get the rating', 'unable to get the user rating']"
46,NR,-,[]
47,NR,-,[]
48,NR,6,[]
49,,,"['unable to get the rating', 'unable to get the user rating']"
50,,,"['unable to get the rating', 'unable to get the user rating']"
51,NR,-,[]
52,NR,-,[]
53,NR,-,[]
54,NR,8,[]
55,,,"['unable to get the rating', 'unable to get the user rating']"
56,,,"['unable to get the rating', 'unable to get the user rating']"
57,NR,-,[]
58,,,"['unable to get the rating', 'unable to get the user rating']"
59,,,"['unable to get the rating', 'unable to get the user rating']"
60,NR,-,[]
61,NR,-,[]
62,NR,7.2,[]
63,,,"['unable to get the rating', 'unable to get the user rating']"
64,NR,-,[]
65,NR,-,[]
66,4,-,[]
67,,,"['unable to get the rating', 'unable to get the user rating']"
68,,,"['unable to get the rating', 'unable to get the user rating']"
69,,,"['unable to get the rating', 'unable to get the user rating']"
70,,,"['unable to get the rating', 'unable to get the user rating']"
71,,,"['unable to get the rating', 'unable to get the user rating']"
72,NR,6,[]
73,,,"['unable to get the rating', 'unable to get the user rating']"
74,,,"['unable to get the rating', 'unable to get the user rating']"
75,,,"['unable to get the rating', 'unable to get the user rating']"
76,10,9.5,[]
77,NR,7,[]
78,,,"['unable to get the rating', 'unable to get the user rating']"
79,,,"['unable to get the rating', 'unable to get the user rating']"
80,NR,6,[]
81,NR,7.8,[]
